date,geography,geography_code,metric,stratum,metric_value,theme,sub_theme,topic,geography_type,metric_group,sex,age,year,month,epiweek,in_reporting_delay_period
2020-04-01,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",QHG,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,20.59,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2020,4,14,FALSE
2020-05-01,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",QHG,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,28.04,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2020,5,18,FALSE
2020-06-01,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",QHG,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,30.21,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2020,6,22,FALSE
2020-07-01,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",QHG,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,27.5,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2020,7,27,FALSE
2020-08-01,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",QHG,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,23.68,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2020,8,31,FALSE
2020-09-01,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",QHG,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,21.74,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2020,9,35,FALSE
2020-10-01,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",QHG,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,23.08,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2020,10,40,FALSE
2020-11-01,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",QHG,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,26.14,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2020,11,44,FALSE
2020-12-01,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",QHG,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,22.99,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2020,12,48,FALSE
2021-01-01,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",QHG,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,24.1,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2021,1,1,FALSE
